month,airline_id,unique_carrier,carrier,carrier_name,carrier_group_new,sdomt_gallons,satl_gallons,spac_gallons,slat_gallons,sint_gallons,ts_gallons,tdomt_gallons,tint_gallons,total_gallons,sdomt_cost,satl_cost,spac_cost,slat_cost,sint_cost,ts_cost,tdomt_cost,tint_cost,total_cost,year
1,21652,27Q,27Q,"Jet Aviation Flight Services, Inc.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
1,21712,2HQ,2HQ,Elite Airways LLC,1,89988,0,0,0,0,89988,,0,462132,252948,0,0,0,0,252948,1785834,0,1785834,2018
1,20408,5V,5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,1,309045,0,0,0,0,309045,364447,0,364447,837738,0,0,0,0,837738,987918,0,987918,2018
1,19917,5X,5X,United Parcel Service,3,39478000,11475000,17906000,3091000,32472000,71950000,39478000,32472000,71950000,79343000,22593000,34871000,6568000,64032000,143375000,79343000,64032000,143375000,2018
1,20007,5Y,5Y,Atlas Air Inc.,3,0,0,0,0,0,0,11947570,31103365,43050935,0,0,0,0,0,0,23833293,61556400,85389693,2018
1,19874,8C,8C,Air Transport International,2,0,0,0,0,0,0,74865,722440,797305,0,0,0,0,0,0,173708,1516586,1690294,2018
1,20363,9E,9E,Endeavor Air Inc.,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
1,20190,9S,9S,Southern Air Inc.,2,676247,4092478,570460,0,4662938,5339185,676247,4662938,5339185,1420119,8594204,1197966,0,9792170,11212289,1420119,9792170,11212289,2018
1,19805,AA,AA,American Airlines Inc.,3,173505482,35052146,24241613,50238019,109531778,283037260,174171571,109802500,283974071,337146683,69965049,47361096,104353301,221679446,558826129,338396257,222238669,560634926,2018
1,20453,ABX,ABX,ABX Air Inc,2,44160,0,0,0,0,44160,44160,0,44160,100111,0,0,0,0,100111,100111,0,100111,2018
1,19930,AS,AS,Alaska Airlines Inc.,3,56426937,0,0,1540038,1540038,57966975,56468118,1540038,58008156,121074317,0,0,3506973,3506973,124581290,121153924,3506973,124660897,2018
1,20409,B6,B6,JetBlue Airways,3,53977431,0,0,12900982,12900982,66878413,53985306,12900982,66886288,114612170,0,0,27393107,27393107,142005277,114629092,27393107,142022199,2018
1,21167,CP,CP,Compass Airlines,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
1,19790,DL,DL,Delta Air Lines Inc.,3,155927269,46437915,29704100,30677967,106819982,262747251,157691468,106874624,264566092,321399594,95718517,61226531,63233879,220178927,541578521,326289455,220291555,546581010,2018
1,20366,EV,EV,ExpressJet Airlines Inc.,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
1,20436,F9,F9,Frontier Airlines Inc.,3,19838849,0,0,2367542,2367542,22206391,19838849,2367542,22206391,38873888,0,0,4706056,4706056,43579944,38873888,4706056,43579944,2018
1,20107,FX,FX,Federal Express Corporation,3,56827364,13372611,21530230,1992053,36894894,93722258,58608033,37324100,95932133,113558000,27068000,42280000,4326000,73674000,187232000,117140326,74527000,191667326,2018
1,20368,G4,G4,Allegiant Air,3,13661026,0,0,0,0,13661026,14124731,59298,14184029,30199307,0,0,0,0,30199307,31266501,150033,31416534,2018
1,20500,G7,G7,GoJet Airlines LLC d/b/a United Express,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
1,20166,GFQ,GFQ,Gulf And Caribbean Cargo,1,0,0,0,0,0,0,191279,266093,457372,0,0,0,0,0,0,462989,690943,1153932,2018
1,20402,GL,GL,Miami Air International,2,0,0,0,0,0,0,363126,234130,597256,0,0,0,0,0,0,1139536,734730,1874266,2018
1,19690,HA,HA,Hawaiian Airlines Inc.,3,15104660,0,7316195,0,7316195,22420855,15115998,7316195,22432193,29872091,0,14224772,0,14224772,44096863,29894018,14224772,44118790,2018
1,20370,KAQ,KAQ,Kalitta Air LLC,2,0,0,0,0,0,0,698701,3118500,3817201,0,0,0,0,0,0,1434317,6834833,8269150,2018
1,21629,KD,KD,Western Global,1,0,0,0,0,0,0,586944,497165,1084109,0,0,0,0,0,0,965656,1091841,2057497,2018
1,21634,KH,KH,Aloha Air Cargo,1,432202,0,0,0,0,432202,432202,0,432202,863451,0,0,0,0,863451,863451,0,863451,2018
1,20372,KLQ,KLQ,Kalitta Charters II,1,0,0,0,0,0,0,89058,79804,168862,0,0,0,0,0,0,238881,217715,456596,2018
1,20169,L2,L2,Lynden Air Cargo Airlines,1,92605,0,0,0,0,92605,168707,43964,212671,221954,0,0,0,0,221954,432443,139490,571933,2018
1,20151,M6,M6,Amerijet International,2,0,0,0,1393584,1393584,1393584,382418,1450106,1832524,0,0,0,3054888,3054888,3054888,838302,3178790,4017092,2018
1,20398,MQ,MQ,Envoy Air,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
1,20405,N8,N8,National Air Cargo Group Inc d/ba National Airlines,1,0,0,0,0,0,0,48091,1065432,1113523,0,0,0,0,0,0,122419,2202006,2324425,2018
1,20108,NC,NC,Northern Air Cargo Inc.,1,359210,0,0,0,0,359210,473048,4327,477375,808844,0,0,0,0,808844,1052458,9770,1062228,2018
1,20416,NK,NK,Spirit Air Lines,3,29081619,0,0,2528836,2528836,31610455,29081619,2528836,31610455,63997667,0,0,5565015,5565015,69562682,63997667,5565015,69562682,2018
1,20397,OH,OH,PSA Airlines Inc.,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
1,20304,OO,OO,SkyWest Airlines Inc.,3,7718601,0,0,0,0,7718601,7718601,0,7718601,18509402,0,0,0,0,18509402,18509402,0,18509402,2018
1,20177,PFQ,PFQ,Asia Pacific,1,0,0,0,0,0,0,0,383900,383900,0,0,0,0,0,0,0,834814,834814,2018
1,20100,PO,PO,Polar Air Cargo Airways,3,2702434,808761,11467813,0,12276574,14979008,2702434,12276574,14979008,5474104,1962033,21260028,0,23222061,28696165,5474104,23222061,28696165,2018
1,19687,QX,QX,Horizon Air,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
1,20422,SY,SY,Sun Country Airlines d/b/a MN Airlines,2,3173913,0,0,1374684,1374684,4548597,3605952,1537296,5143248,6516582,0,0,3175518,3175518,9692100,8392084,3553659,11945743,2018
1,20447,U7,U7,USA Jet Airlines Inc.,2,0,0,0,0,0,0,327303,15135,342438,0,0,0,0,0,0,667469,43725,711194,2018
1,19977,UA,UA,United Air Lines Inc.,3,120128303,49380913,54011106,31260979,134652998,254781301,120886857,135095219,255982076,237636702,97620436,105935311,64407817,267963564,505600266,239129660,268814169,507943829,2018
1,20195,WI,WI,Sky Lease Cargo,1,0,0,0,0,0,0,0,2131746,2131746,0,0,0,0,0,0,0,4668490,4668490,2018
1,20310,WL,WL,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",1,0,0,0,0,0,0,21791,60597,82388,0,0,0,0,0,0,55729,154973,210702,2018
1,20377,X9,X9,Omni Air International LLC,2,0,0,0,0,0,0,375924,2691363,3067287,0,0,0,0,0,0,802044,5545449,6347493,2018
1,20207,XP,XP,XTRA Airways,1,0,0,0,0,0,0,304290,246038,550328,0,0,0,0,0,0,687478,807982,1495460,2018
1,20378,YV,YV,Mesa Airlines Inc.,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
1,20452,YX,YX,Republic Airline,2,22451,0,0,0,0,22451,22451,0,22451,52500,0,0,0,0,52500,52500,0,52500,2018
1,19393,WN,WN,Southwest Airlines Co.,3,161138026,0,0,1834713,1834713,162972739,161332466,1834713,163167179,315017449,0,0,4296170,4296170,319313619,315397696,4296170,319693866,2018
